productTitle,originalPrice,price,sold,tagText,price_clean,original_price_clean,has_discount,discount_pct,free_shipping,category,title_length,title_word_count,price_tier,category_encoded,price_tier_encoded,log_price
"75"" X 32"" Expandable Dining Table - a Oval Wooden Table Top With Metal Legs Room Furniture Home",,$382.06,0,Free shipping,382.06,,False,0.0,1,Table,95,18,Luxury ($300+),9,3,5.948191634874515
Modern Small Bedside Table with Drawer Lock Nordic Minimalist Bedside Cabinet Storage Cabinets Nightstands for Bedroom Furnitur,$98.79,$49.39,1,Free shipping,49.39,98.79,True,50.0050612410163,1,Table,127,17,Budget (<$50),9,0,3.9197927426925068
"5 Piece Patio Furniture Set, Outdoor Dining Table Set with L-Shaped Sectional Sofa, 2 Ottomans, Outside Conversation",,$225.91,1,Free shipping,225.91,,False,0.0,1,Table,116,17,Premium ($150-300),9,2,5.424553463093178
"Greesum 3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Garden,Balcony, with A Glass Coffee Table",,$74.17,0,Free shipping,74.17,,False,0.0,1,Chair,127,18,Mid-Range ($50-150),2,1,4.319752215189378
Mid Lounge Replica Solid Wood Three-Legged Shell Chair Ash Plywood Black Faux Leather Living Room Furniture Modern Leisure Chair,,$179.99,2,Free shipping,179.99,,False,0.0,1,Chair,128,19,Premium ($150-300),2,2,5.19844178112078
Folding Desk Small Writing Desk Dressing Table Adjustable Height Space Saving Office Furniture Mobile Bookshelf,$86.61,$48.56,3,Free shipping,48.56,86.61,True,43.93257129661702,1,Table,111,15,Budget (<$50),9,0,3.9031840567609417
Home Furniture Shoe-shelf Headboards Shoe Cabinet Hallway Shoerack Living Room Cabinets Shoes Organizer External Storage Wheel,$15.71,$9.71,110,Free shipping,9.71,15.71,True,38.192234245703375,1,Cabinet,126,16,Budget (<$50),1,0,2.3711778844596574
Makeup Vanity Organizer Makeup Vanity Desk With Mirror and Lights Dressers for Bedroom Furniture 5 Drawers & Storage Bag Dresser,,$172.36,5,Free shipping,172.36,,False,0.0,1,Bed,128,20,Premium ($150-300),0,2,5.1553703572281036
"High dresser 12 drawers Black dresser and closet hallway, living room, bedroom furniture, wooden top and metal frame texture",,$91.06,0,Free shipping,91.06,,False,0.0,1,Bed,124,19,Mid-Range ($50-150),0,1,4.5224405383890955
"3 Pieces Patio Furniture PE Rattan Wicker Chair Conversation Set, 26.6x12.1x19.3 inches, Assemble Easily, Sturdy&Durable",,$86.8,18,Free shipping,86.8,,False,0.0,1,Chair,120,15,Mid-Range ($50-150),2,1,4.475061500641071
Simple Wardrobe Portable Large Capacity Assembly Storage Closet Bedroom Furniture Durable and Sturdy Clothes Dustproof Wardrobe,$82.27,$40.13,1,Free shipping,40.13,82.27,True,51.22158745593776,1,Table,127,16,Budget (<$50),9,0,3.716737782242333
"Wisteria Lane Outdoor Patio Furniture Set, 7-Piece Outdoor Dining Sofa Set with Dining Table and Chairs with Footstool",,$445.4,1,Free shipping,445.4,,False,0.0,1,Chair,118,18,Luxury ($300+),2,3,6.101215411067101
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",,$270.59,1,Free shipping,270.59,,False,0.0,1,Table,117,17,Premium ($150-300),9,2,5.604293576155459
"Patio Furniture L-Shaped Coversation Sectional Outdoor Sofa Set for Backyard, Porch with Thick Cushions Detachable Lounger",,$157.84,0,Free shipping,157.84,,False,0.0,1,Sofa,122,16,Premium ($150-300),7,2,5.067897406263051
5 Pieces Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Sofas with Cushion and Glass Table,,$123.57,1,Free shipping,123.57,,False,0.0,1,Table,128,20,Mid-Range ($50-150),9,1,4.824867806898001
"3 Pieces Rocking Wicker Bistro Set, Patio Outdoor Furniture Conversation Sets with Porch Chairs and Glass Coffee Table, Beige",$251.56,$87.08,11,Free shipping,87.08,251.56,True,65.384003816187,1,Chair,125,19,Mid-Range ($50-150),2,1,4.478245492414424
"75"" X 31"" Portable Foldable Guest Bed for Adults Folding Bed With Mattress Beds and Furniture Storage Bag Included Bedroom",,$177.76,0,Free shipping,177.76,,False,0.0,1,Table,122,20,Premium ($150-300),9,2,5.18604412406525
"7 Piece Outdoor Patio Furniture Set, PE Rattan Outdoor Grey Wicker Furniture, Outdoor Sectional Furniture Chair Set",,$384.35,0,Free shipping,384.35,,False,0.0,1,Chair,115,17,Luxury ($300+),2,3,5.954152012224002
"3 Piece Bistro Set Patio Rocking Chairs Outdoor Furniture w Warm Gray Cushions, Glass-Top Table for Garden, Pool, Backyard",,$161.63,0,Free shipping,161.63,,False,0.0,1,Chair,122,19,Premium ($150-300),2,2,5.091477681940357
"5 Pcs Patio Furniture Sets, Wicker Patio Furniture Set with Washable Cushions & Glass Coffee Table for Garden, Poolside",,$288.54,0,Free shipping,288.54,,False,0.0,1,Table,119,19,Premium ($150-300),9,2,5.668293456725897
"5 Piece Outdoor Patio Furniture Set, Sectional Conversation PE Wicker w/Light Cushions, Poolside Balcony Outside Furniture Sets",,$404.78,0,Free shipping,404.78,,False,0.0,1,Other,127,17,Luxury ($300+),5,3,6.005811140814903
Outdoor Furniture Sets Sectional PE Rattan Outdoor Furniture Patio Conversation Set with Cushions for Balcony Lawn and Garden,$736.43,$435.86,5,Free shipping,435.86,736.43,True,40.81446980704207,1,Other,125,18,Luxury ($300+),5,3,6.079612777634675
"Patio Furniture Outdoor Set, Terrace Sofa Set, All-weather PE Rattan with Padded Cushions, Garden Furniture Sets",$665.74,$393.44,16,Free shipping,393.44,665.74,True,40.9018535764713,1,Sofa,112,16,Luxury ($300+),7,3,5.9774670374641286
"7 Pieces Patio Furniture Set, Outdoor Sectional Sofa Conversation Set, All Weather Wicker Rattan Couch Dining Table & Chair",,$432.98,1,Free shipping,432.98,,False,0.0,1,Chair,123,19,Luxury ($300+),2,3,6.072998450089244
"47"" Small Modern Loveseat Couch Sofa, Fabric Upholstered 2-Seat Sofa, Love Seat Furniture with 2 Pillows, Bedroom, Apartment",,$144.05,0,Free shipping,144.05,,False,0.0,1,Sofa,124,18,Mid-Range ($50-150),7,1,4.977078510567413
"6 Piece Patio Furniture Set, Outdoor Sectional Conversation Rattan Sofa Set with Ottoman and Outdoor Storage Table",,$335.98,6,Free shipping,335.98,,False,0.0,1,Table,114,17,Luxury ($300+),9,3,5.820023581410239
Flamaker Patio Chairs 3 Piece Acacia Wood Patio Furniture with Coffee Table & Cushions Outdoor Conversation Set Balcony Chairs,,$96.15,7,Free shipping,96.15,,False,0.0,1,Chair,126,19,Mid-Range ($50-150),2,1,4.576256175823449
"Shintenchi 5 Pieces Outdoor Patio Sectional Sofa Couch, Silver Gray PE Wicker Furniture Conversation Sets with Washable Cushions",$407.85,$279.49,3,Free shipping,279.49,407.85,True,31.472355032487435,1,Sofa,128,18,Premium ($150-300),7,2,5.636538073703367
"5 Pcs Outdoor Patio Sectional Furniture Set, Weather Resistant Rattan Outside Couch, Waterproof Conversation Sofa, Furniture set",,$313.48,0,Free shipping,313.48,,False,0.0,1,Sofa,128,17,Luxury ($300+),7,3,5.750920481113605
"5Pcs Patio Furniture Set, Sectional All-Weather Grey PE Wicker w/Light Cushions, Backyard Porch Garden Poolside Balcony Set",,$308.39,0,Free shipping,308.39,,False,0.0,1,Other,123,17,Luxury ($300+),5,3,5.734602616996087
"Dining table set, kitchen table and chairs, 4-seater dining table and chairs, home furniture, rectangular modern style",,$136.04,0,Free shipping,136.04,,False,0.0,1,Chair,118,17,Mid-Range ($50-150),2,1,4.920272854015864
"4-piece terrace furniture set, small backyard tavern rocking chairs, double sofa and glass table textile outdoor dialogue set",,$160.01,0,Free shipping,160.01,,False,0.0,1,Chair,125,18,Premium ($150-300),2,2,5.081466474856847
Nightstands Modern Single Drawer Bedside Table Walnut Wood Bedroom Furniture Bedside Table,,$86.77,1,Free shipping,86.77,,False,0.0,1,Table,90,12,Mid-Range ($50-150),9,1,4.474719756604026
Makeup Table With 5 Drawers & Shelves Vanity Table Set Large Vanity Desk With Mirror and Lights White and Gold Bedroom Furniture,$313.69,$175.94,1,Free shipping,175.94,313.69,True,43.912780133252575,1,Table,128,22,Premium ($150-300),9,2,5.17581069205524
ACME Furniture Dresden 2-Drawer Rectangular Wood Nightstand in Bone White,,$552.62,0,Free shipping,552.62,,False,0.0,1,Other,73,10,Luxury ($300+),5,3,6.31647853081852
Side Table for Living Room Bed Room Bedside Tables Modern Nightstand With 2 Drawers Furniture Silver Bedroom Home,,$122.3,1,Free shipping,122.3,,False,0.0,1,Table,113,18,Mid-Range ($50-150),9,1,4.814620410170298
"Convertible Sofa Bed, 3-in-1 Multi-Functional Velvet Sleeper Couch Pull-Out Bed Hidden Side Table for Living Room, Small Space",,$266.5,2,Free shipping,266.5,,False,0.0,1,Table,126,18,Premium ($150-300),9,2,5.589119566336061
"ACME Furniture Upholstered Nightstand with 2 Drawers, Gray Velvet",,$303.56,0,Free shipping,303.56,,False,0.0,1,Other,65,9,Luxury ($300+),5,3,5.718868112074242
"6Pieces Wicker Patio Furniture Sets Outdoor Conversation Set PE Rattan Sectional Sofa Couch with 30"" Fire Pit Table and Cushions",,$574.86,0,Free shipping,574.86,,False,0.0,1,Table,128,20,Luxury ($300+),9,3,6.355864575597547
Dressers for Bedroom Furniture Thickened Frame Dresser Vanity Table for Makeup Furnitures Hallway Kids Room Make Up Table Toilet,$72.43,$31.71,60,Free shipping,31.71,72.43,True,56.219798426066546,1,Table,128,19,Budget (<$50),9,0,3.4876808415502927
"Dresser for Bedroom, Storage with 5 Drawer Organizer Closet Chest Small Clothes Fabric Cabinet, Kids Furniture Drawer Binis",,$36.39,0,Free shipping,36.39,,False,0.0,1,Bed,123,18,Budget (<$50),0,0,3.6214032889890224
Modern Faux Leather Sofa Bed Convertible Folding Futon With Armrest Home Recliner Home Furniture for Living Living Room Sofas,,$105.3,4,Free shipping,105.3,,False,0.0,1,Sofa,125,19,Mid-Range ($50-150),7,1,4.666265285347902
"King Size Bed Frame Heavy Duty Bed Frame With Faux Leather Headboard Bedroom Furniture 12"" Under-Bed Storage Black",,$101.98,0,Free shipping,101.98,,False,0.0,1,Bed,114,18,Mid-Range ($50-150),0,1,4.634534794617995
"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",,$117.66,0,Free shipping,117.66,,False,0.0,1,Table,115,18,Mid-Range ($50-150),9,1,4.776262260830497
"LostCat Buffet Sideboard,Console Table with Storage,with 4 Drawers and Cabinets,Easy Assmebly for Kitchen,Dining Room",,$194.17,0,Free shipping,194.17,,False,0.0,1,Table,117,14,Premium ($150-300),9,2,5.273870973643111
Length of Values Black Gaming Desk Table Office Furniture Computer Offices L Shaped Desk for Compuradora Desktops Furnitures,,$48.43,6,Free shipping,48.43,,False,0.0,1,Table,124,18,Budget (<$50),9,0,3.9005575273188677
"Armoire Wardrobe Closet - White 32""W x 35""H x 20""D Cabinet for Functional Clothes Storage with Hanging Rail home furniture",,$159.73,0,Free shipping,159.73,,False,0.0,1,Cabinet,122,20,Premium ($150-300),1,2,5.079725938581049
"Living Room Sofa Set , L Shape Modular Storage Ottoman & Chaise, Comfy Corner Sofa Cup Holder Living Room Furniture Couch Sets",$983.42,$584.05,1,Free shipping,584.05,983.42,True,40.61031909052083,1,Sofa,126,22,Luxury ($300+),7,3,6.371697313664967
"Vanity Set,3 Color Touch Screen Dimming Mirror with Display, 4 Drawers,Makeup Dressing Table with Cushioned Stool Dressers",,$218.84,0,Free shipping,218.84,,False,0.0,1,Table,122,17,Premium ($150-300),9,2,5.392900009033984
7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,,$376.5,0,Free shipping,376.5,,False,0.0,1,Table,120,18,Luxury ($300+),9,3,5.933570568689079
5 Pieces Patio Furniture Set Outdoor Sectional Rattan Daybed Conversation Sofa Set Wicker Couch with & Tempered Glass,,$219.63,0,Free shipping,219.63,,False,0.0,1,Sofa,117,18,Premium ($150-300),7,2,5.396487090320281
"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",,$497.44,1,Free shipping,497.44,,False,0.0,1,Table,117,17,Luxury ($300+),9,3,6.211483221074666
"Smug Recliner Chair Massage Reclining for Adults, Comfortable Fabric Recliner Sofa Adjustable Home Theater Seating Lounge with P",,$106.19,0,Free shipping,106.19,,False,0.0,1,Chair,128,18,Mid-Range ($50-150),2,1,4.674602960703428
"Nightstand,Bedside Tables with Fabric Storage Drawer and Open Wood Shelf,Bedside Furniture,Mesa de Noche Drawers,",,$21.22,3,Free shipping,21.22,,False,0.0,1,Table,113,14,Budget (<$50),9,0,3.100992784211484
"GTPLAYER Chair Computer Gaming Chair (Leather, Ivory)， office furniture gaming chair",,$129.68,8,Free shipping,129.68,,False,0.0,1,Chair,84,11,Mid-Range ($50-150),2,1,4.8727515867328695
Makeup Table With 5 Drawers & Shelves Vanity Table Set Large Vanity Desk With Mirror and Lights White and Gold Bedroom Furniture,,$143.98,0,Free shipping,143.98,,False,0.0,1,Table,128,22,Mid-Range ($50-150),9,1,4.976595801872731
Nathan James Bailey Upholstered Rattan Bar Stool in Oak Finish Frame,,$172.61,1,Free shipping,172.61,,False,0.0,1,Stool,68,11,Premium ($150-300),8,2,5.156811404253857
Modern Small Bedside Table with Drawer Lock Nordic Minimalist Bedside Cabinet Storage Cabinets Nightstands for Bedroom Furnitur,$98.79,$49.39,1,Free shipping,49.39,98.79,True,50.0050612410163,1,Table,127,17,Budget (<$50),9,0,3.9197927426925068
Dressers for Bedroom Milky-White Storage Makeup Vanity Desk With Large Lighted Mirror With Power Outlet and LED Strip Furniture,,$151.55,4,Free shipping,151.55,,False,0.0,1,Bed,127,19,Premium ($150-300),0,2,5.027492411162679
2/5 Pieces Patio Furniture Sets All Weather Outdoor Sectional Patio Sofa Manual Weaving Wicker Rattan Patio Seating Sofas,,$237.47,11,Free shipping,237.47,,False,0.0,1,Sofa,121,18,Premium ($150-300),7,2,5.474243516253131
Retro Sideboard Glass Door with Curved Line Design Ample Storage Cabinet with Black Handle and Three Adjustable Shelves,,$282.27,0,Free shipping,282.27,,False,0.0,1,Table,119,18,Premium ($150-300),9,2,5.646400506418066
"5 Piece Patio Furniture Set, Outdoor Dining Table Set with L-Shaped Sectional Sofa, 2 Ottomans, Outside Conversation",,$225.91,1,Free shipping,225.91,,False,0.0,1,Table,116,17,Premium ($150-300),9,2,5.424553463093178
"3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Lawn, Garden, Balcony, Poolside",,$55.96,1,Free shipping,55.96,,False,0.0,1,Chair,109,15,Mid-Range ($50-150),2,1,4.04234926710372
"Greesum 3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Garden,Balcony, with A Glass Coffee Table",,$74.17,0,Free shipping,74.17,,False,0.0,1,Chair,127,18,Mid-Range ($50-150),2,1,4.319752215189378
"EASELAND Sofa Couch, 88” Chenille Loveseat Comfy Couches for Living Room, Modern Deep Seat Sofa with Removable Back and Seat Cus",,$305.08,1,Free shipping,305.08,,False,0.0,1,Sofa,128,21,Luxury ($300+),7,3,5.7238465056919425
"Sofa Bed Reversible Convertible Sleeper Pull Out Couches with Storage Chaise, Linen Fabric Furniture for Living Room, Apartment",$633.27,$342.3,19,Free shipping,342.3,633.27,True,45.94722630157752,1,Sofa,127,18,Luxury ($300+),7,3,5.838604700463646
3 Pieces Rocking Chairs Set - Outdoor Wicker Rattan Rocking Chairs with Thickened Cushions，Boho Patio Furniture,,$149.82,0,Free shipping,149.82,,False,0.0,1,Chair,111,16,Mid-Range ($50-150),2,1,5.016087072774501
"Aidan Sling Accent Chair / Metal Framed Armchair with Shredded Foam Cushioning, Oatmeal Chairs Living Room Furniture",,$77.65,1,Free shipping,77.65,,False,0.0,1,Chair,116,17,Mid-Range ($50-150),2,1,4.365007629504287
"Deep Seat Sectional Sofa Cloud Couch with Ottoman, 76.7"" Modern Chenille Comfy Upholstered Modular Sofa L Shaped Couch",,$423.56,0,Free shipping,423.56,,False,0.0,1,Sofa,118,18,Luxury ($300+),7,3,6.0510533385196394
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,,$43.96,3,,43.96,,False,0.0,0,Bed,126,19,Budget (<$50),0,0,3.8057732055854356
"New Prepac Fremont 5-Drawer Chest for Bedroom, 16"" D X 31.5"" W X 45.25"" H, Espresso Dressing Table Bedroom Furniture",,$145.9,5,Free shipping,145.9,,False,0.0,1,Table,116,20,Mid-Range ($50-150),9,1,4.989752083179832
Folding Desk Small Writing Desk Dressing Table Adjustable Height Space Saving Office Furniture Mobile Bookshelf,$86.61,$48.56,3,Free shipping,48.56,86.61,True,43.93257129661702,1,Table,111,15,Budget (<$50),9,0,3.9031840567609417
Air Dresser LED White Vanity Set With Stool and Power Outlet Bedroom Furniture Home Makeup Vanity Table Girls(White) Furnitures,$355.38,$200.12,28,Free shipping,200.12,355.38,True,43.68844617029658,1,Table,127,19,Premium ($150-300),9,2,5.303901744841937
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,$78.4,$39.46,7,Free shipping,39.46,78.4,True,49.66836734693878,1,Bed,124,19,Budget (<$50),0,0,3.7003138317395994
Sturdy Steel Frame Vanity Desk Hallway Dresser for Bedroom Furniture Entryway Furnitures Wood Top Closets Dresser With 3 Drawers,,$38.58,2,Free shipping,38.58,,False,0.0,1,Bed,128,19,Budget (<$50),0,0,3.6783239401744194
"Mid-Century 6 Drawer Dresser For Bedroom, 16"" D x 52.50"" W x 33"" H, Brown/White",,$361.06,0,Free shipping,361.06,,False,0.0,1,Bed,79,15,Luxury ($300+),0,3,5.891809943947798
Full Size Bed Frame Queen Bedroom Furniture Upholstered Panel Bed in Black,,$90.8,4,Free shipping,90.8,,False,0.0,1,Bed,74,12,Mid-Range ($50-150),0,1,4.519612297626445
"Living Room Sofa,Beige Linen Modern 3 Seater L Shaped Upholstered Furniture,Reversible Footrest with Storage Sofa",,$297.24,1,Free shipping,297.24,,False,0.0,1,Sofa,113,15,Premium ($150-300),7,2,5.697898531497226
Faux Leather Sleeper Sofa With Mattress and Frame Living Room Sofas Convertible Futon Couch for Living Room Furniture White,,$150.54,7,Free shipping,150.54,,False,0.0,1,Sofa,123,19,Premium ($150-300),7,2,5.020849616503227
Simple Wardrobe Portable Large Capacity Assembly Storage Closet Bedroom Furniture Durable and Sturdy Clothes Dustproof Wardrobe,$82.27,$40.13,1,Free shipping,40.13,82.27,True,51.22158745593776,1,Table,127,16,Budget (<$50),9,0,3.716737782242333
"Bedroom Furniture Metal Four Post Canopy Bed Frame 14 Inch Platform, No Springs Required, White, King Size Bed",,$186.18,0,Free shipping,186.18,,False,0.0,1,Bed,110,18,Premium ($150-300),0,2,5.23207072072911
VEVOR Ergonomic Rocking Wooden Kneeling Chair Stool Correct Posture Computer Chair Original Home Office Furniture Thick Cushion,$108.32,$58.99,223,Free shipping,58.99,108.32,True,45.54098966026587,1,Chair,127,17,Mid-Range ($50-150),2,1,4.094177881665002
"Sofa with 2 Seats W/Armrest, Upholstered Love Seat Velvet 2-Seater Couches for Living Room, Sofa with 2 Seats",,$141.18,1,Free shipping,141.18,,False,0.0,1,Sofa,109,18,Mid-Range ($50-150),7,1,4.957093860501337
"7 Pieces Patio Furniture Set Sectional Rattan Wicker Sofa Outdoor Conversations Sets with Table for Garden, Poolside, Backyard",,$377.51,2,Free shipping,377.51,,False,0.0,1,Table,126,18,Luxury ($300+),9,3,5.93624249260776
"Wisteria Lane Outdoor Patio Furniture Set, 7-Piece Outdoor Dining Sofa Set with Dining Table and Chairs with Footstool",,$445.4,1,Free shipping,445.4,,False,0.0,1,Chair,118,18,Luxury ($300+),2,3,6.101215411067101
Makeup Vanity Table Set Glass Top Makeup Vanity Table With 10x Magnifying Mirror 3 Light Settings (Modern White) Furnitures Desk,,$167.79,1,Free shipping,167.79,,False,0.0,1,Table,128,20,Premium ($150-300),9,2,5.1286553387008365
"Walker Edison Modern Scandinavian Fluted Door Kitchen Storage Sideboard Buffet Cabinet Console, 69 Inch, Coastal Oak/Black",,$302.17,0,Free shipping,302.17,,False,0.0,1,Cabinet,122,16,Luxury ($300+),1,3,5.7142937042818485
Nordic Plastic Sofa Side tables mini Corner coffee table home decor low Bedside tables living room round Small stool Furniture,,$103.78,15,Free shipping,103.78,,False,0.0,1,Table,126,20,Mid-Range ($50-150),9,1,4.651862913980073
Bedroom Bedside Table of Furniture High Gloss LED Nightstand Acrylic Bedside Table With 3 Drawers for Bedroom Living Room Tables,,$84.52,1,Free shipping,84.52,,False,0.0,1,Table,128,20,Mid-Range ($50-150),9,1,4.4487502667167895
"Patio Furniture L-Shaped Coversation Sectional Outdoor Sofa Set for Backyard, Porch with Thick Cushions Detachable Lounger",,$157.84,0,Free shipping,157.84,,False,0.0,1,Sofa,122,16,Premium ($150-300),7,2,5.067897406263051
